Repo Name,Repo URL,Stars,Forks,Contributors,Pull Requests (Open),Pull Requests (Closed),Open Issues,Language,Commits
langchain,https://github.com/langchain-ai/langchain,101048,16399,3180,58,16820,402,Jupyter Notebook,12710
HelloGitHub,https://github.com/521xueweihan/HelloGitHub,98684,9822,11,2,46,194,Python,204
terminal,https://github.com/microsoft/terminal,97095,8455,430,53,4536,1649,C++,4519
angular,https://github.com/angular/angular,96990,25894,2370,245,29279,1760,TypeScript,32192
material-ui,https://github.com/mui/material-ui,94822,32495,3337,161,24073,1835,TypeScript,26364
godot,https://github.com/godotengine/godot,94128,21718,3248,3329,43533,14666,C++,71794
ant-design,https://github.com/ant-design/ant-design,93752,51247,2529,68,19050,1274,TypeScript,29201
excalidraw,https://github.com/excalidraw/excalidraw,92754,8881,312,384,4498,2047,TypeScript,3672
clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,92490,12387,119,36,254,107,JavaScript,546
free-for-dev,https://github.com/ripienaar/free-for-dev,92364,9942,1895,1,3468,12,HTML,6155
papers-we-love,https://github.com/papers-we-love/papers-we-love,90975,5846,298,1,518,1,Shell,876
java-design-patterns,https://github.com/iluwatar/java-design-patterns,90783,26824,491,29,2183,155,Java,4183
frp,https://github.com/fatedier/frp,90645,13730,129,2,937,58,Go,1256
iptv,https://github.com/iptv-org/iptv,90364,3163,333,5,7263,102,JavaScript,31550
thefuck,https://github.com/nvbn/thefuck,90122,3628,195,97,610,371,Python,1651
puppeteer,https://github.com/puppeteer/puppeteer,89775,9141,523,15,6372,270,TypeScript,5418
tauri,https://github.com/tauri-apps/tauri,89633,2732,446,57,5405,1005,Rust,5318
Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,89094,9128,30,2,109,20,,124
vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,88719,30529,123,113,477,1353,Vue,1020
pytorch,https://github.com/pytorch/pytorch,87056,23408,5410,1107,97042,15633,Python,84592
DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,86781,13986,20,24,81,127,Python,52
neovim,https://github.com/neovim/neovim,86343,5881,1221,310,19230,1864,Vim Script,31874
every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,86219,7936,89,25,146,54,,284
storybook,https://github.com/storybookjs/storybook,85892,9441,2369,139,13256,2178,TypeScript,66351
tailwindcss,https://github.com/tailwindlabs/tailwindcss,85801,4372,302,23,3406,102,TypeScript,6019
Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,85093,12638,232,65,817,120,JavaScript,1742
rustdesk,https://github.com/rustdesk/rustdesk,82449,11522,335,7,3867,56,Rust,10279
django,https://github.com/django/django,82398,32272,3238,294,18844,300,Python,33373
nvm,https://github.com/nvm-sh/nvm,82353,8220,404,38,1061,338,Shell,2248
app-ideas,https://github.com/florinpop17/app-ideas,82217,9653,71,356,350,482,,536
bitcoin,https://github.com/bitcoin/bitcoin,82092,36805,1224,275,21697,661,C++,43981
svelte,https://github.com/sveltejs/svelte,81466,4394,812,54,6638,820,JavaScript,10002
animate.css,https://github.com/animate-css/animate.css,81331,16226,131,21,889,53,CSS,664
ui,https://github.com/shadcn-ui/ui,81272,5331,252,878,1054,1659,TypeScript,650
realworld,https://github.com/gothinkster/realworld,81219,7405,89,24,855,68,TypeScript,974
fastapi,https://github.com/fastapi/fastapi,81140,6981,795,262,4053,314,Python,5580
NextChat,https://github.com/ChatGPTNextWeb/NextChat,81061,60931,283,81,2380,643,TypeScript,3014
opencv,https://github.com/opencv/opencv,80667,55987,2246,145,15619,2709,C++,34975
gin,https://github.com/gin-gonic/gin,80396,8115,459,202,1641,843,Go,1803
